course_url,image_url,desc,duration,by,title,id
https://www.udemy.com/course/r-programming/,https://img-b.udemycdn.com/course/240x135/765242_2578_6.jpg,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",10.5 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",R Programming A-Z™: R For Data Science With Real Exercises!,c00032
https://www.udemy.com/course/flutter-bootcamp-with-dart/,https://img-b.udemycdn.com/course/240x135/2259120_305f_6.jpg,Officially created in collaboration with the Google Flutter team.,29 total hours,Dr. Angela Yu,The Complete Flutter Development Bootcamp with Dart,c00033
https://www.udemy.com/course/the-python-bible/,https://img-b.udemycdn.com/course/240x135/903378_f32d_7.jpg,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,9 total hours,"Ziyad Yehia, Internet of Things Academy",The Python Bible™ | Everything You Need to Program in Python,c00034
https://www.udemy.com/course/sql-for-beginners-course/,https://img-b.udemycdn.com/course/240x135/1419182_b2cf.jpg,Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,8.5 total hours,"Tim Buchalka's Learn Programming Academy, Tim Buchalka, Jean-Paul Roberts",SQL for Beginners: Learn SQL using MySQL and Database Design,c00035
https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,https://img-b.udemycdn.com/course/240x135/1352468_3d97_8.jpg,"Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",25 total hours,in28Minutes Official,Master Microservices with Spring Boot and Spring Cloud,c00036
https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,https://img-b.udemycdn.com/course/240x135/822444_a6db.jpg,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",32 total hours,Jose Portilla,Python and Django Full Stack Web Developer Bootcamp,c00037
https://www.udemy.com/course/understanding-typescript/,https://img-b.udemycdn.com/course/240x135/947098_02ec_2.jpg,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",15 total hours,Maximilian Schwarzmüller,Understanding TypeScript,c00038
https://www.udemy.com/course/understand-javascript/,https://img-b.udemycdn.com/course/240x135/364426_2991_6.jpg,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",12 total hours,Anthony Alicea,JavaScript: Understanding the Weird Parts,c00039
https://www.udemy.com/course/nodejs-the-complete-guide/,https://img-b.udemycdn.com/course/240x135/1879018_95b6_3.jpg,"Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",40.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",c00040
https://www.udemy.com/course/datastructurescncpp/,https://img-b.udemycdn.com/course/240x135/2121018_9de5_5.jpg,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",58.5 total hours,Abdul Bari,Mastering Data Structures & Algorithms using C and C++,c00041
https://www.udemy.com/course/deeplearning/,https://img-b.udemycdn.com/course/240x135/1151632_de9b.jpg,"Learn to create Deep Learning models in Python from two Machine Learning, Data Science experts. Code templates included.",23 total hours,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team","Deep Learning A-Z 2024: Neural Networks, AI & ChatGPT Prize",c00042
https://www.udemy.com/course/the-complete-react-native-and-redux-course/,https://img-b.udemycdn.com/course/240x135/959700_8bd2_12.jpg,"Understand React Native with Hooks, Context, and React Navigation.",38.5 total hours,Stephen Grider,The Complete React Native + Hooks Course,c00043
https://www.udemy.com/course/advanced-css-and-sass/,https://img-b.udemycdn.com/course/240x135/1026604_790b_2.jpg,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",28 total hours,Jonas Schmedtmann,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",c00044
https://www.udemy.com/course/apache-kafka/,https://img-b.udemycdn.com/course/240x135/1075642_b6d2_10.jpg,"START HERE: Learn Apache Kafka 3.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",8.5 total hours,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Conduktor Kafkademy",Apache Kafka Series - Learn Apache Kafka for Beginners v3,c00045
https://www.udemy.com/course/python-programming-projects/,https://img-b.udemycdn.com/course/240x135/666914_6c60_3.jpg,"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",3 total hours,Jason Cannon,Python for Beginners: Learn Python Programming (Python 3),c00046
https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,https://img-b.udemycdn.com/course/240x135/1298780_731f_4.jpg,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",5 total hours,365 Careers,Statistics for Data Science and Business Analysis,c00047
https://www.udemy.com/course/java-programming-tutorial-for-beginners/,https://img-b.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,Java Programming for Beginners to Java Object Oriented Programming. Core Java + REST API with Spring Boot. Java 8 to 16.,41.5 total hours,in28Minutes Official,Java Programming for Complete Beginners,c00048
https://www.udemy.com/course/unitycourse2/,https://img-b.udemycdn.com/course/240x135/1178124_76bb_11.jpg,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",30.5 total hours,"Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie",Complete C# Unity Game Developer 3D,c00049
https://www.udemy.com/course/react-native-the-practical-guide/,https://img-b.udemycdn.com/course/240x135/1436092_2024_4.jpg,"Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",28.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",React Native - The Practical Guide [2024],c00050
https://www.udemy.com/course/go-the-complete-developers-guide/,https://img-b.udemycdn.com/course/240x135/1309202_1231_4.jpg,Master the fundamentals and advanced features of the Go Programming Language (Golang),9 total hours,Stephen Grider,Go: The Complete Developer's Guide (Golang),c00051
https://www.udemy.com/course/artificial-intelligence-az/,https://img-b.udemycdn.com/course/240x135/1219332_bdd7.jpg,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",14 total hours,"Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team, Luka Anicin, Ligency Team",Artificial Intelligence A-Z 2024: Build 5 AI (incl. ChatGPT),c00052
https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,https://img-b.udemycdn.com/course/240x135/405926_02c8_2.jpg,HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,6 total hours,"Edwin Diaz, Coding Faculty Solutions",HTML and CSS for Beginners - Build a Website & Launch ONLINE,c00053
https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,https://img-b.udemycdn.com/course/240x135/383576_fd27_3.jpg,"An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",6 total hours,Mosh Hamedani,"C# Intermediate: Classes, Interfaces and OOP",c00054
https://www.udemy.com/course/ci-cd-devops/,https://img-b.udemycdn.com/course/240x135/2779762_87e5_4.jpg,"Learn about CI CD & DevOps & the concepts of Continuous Integration, Continuous Delivery / Deployment, DevOps & pipeline",1 total hour,John Honai,"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",c00055
https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,https://img-b.udemycdn.com/course/240x135/694982_33b0.jpg,"""Top Ranked #1 Rest API Test Automation &amp; postman tutorial with Java from Basics to Framework with Real time examples",28 total hours,Rahul Shetty,Rest API Testing (Automation) from Scratch-Rest Assured Java,c00056
